Participant,Group,Tot_session,Inc_session,Game,BonusGames,TotalTrials,Perc_ActSelTrials,Perc_correct,CorrResponses,hits,go_trials,go_omissions,go_omissions_all,go_error,P_go_errors,ActSel_trials,corr_actselect_trials,Incorr_actselect_trials,miss_actselect_trials,wrong_actselect_trials,P_go_omission,P_Hit,P_miss_ActSelTrial,P_corr_actselect,P_val_adjusted,dprime,dprime_bias,mean_SSD,SSD_std,mean_SSRT1,mean_SSRT2,mean_SSRT3,SSRT1_nRT,SSRT2_nRT,SSRT3_nRT,SSRT1_error_msg,SSRT2_error_msg,SSRT3_error_msg,FullSSRTExclude,mean_all_go_RT,mean_Corr_go_RT,mean_InCorr_go_RT,mean_all_ActSel_RT,mean_CorrActSel_RT,mean_InCorrActSel_RT,mean_inCorr_Go_RT,std_all_goRT,std_Corr_goRT,std_InCorr_goRT,std_all_ActSel_RT,std_Corr_ActSel_RT,std_InCorr_ActSel_RT,CovVar_all_goRT,CovVar_Corr_goRT,CovVar_InCorr_goRT,CovVar_all_ActSel_RT,CovVar_Corr_ActSel_RT,CovVar_InCorr_ActSel_RT,meanStimDur
22,2,14,5,Chest_Picking,4,104,49.0384615384615,70.1923076923077,73,42,53,10,10,1,0.0188679245283019,51,31,20,7,13,0.188679245283019,0.792452830188679,0.392156862745098,0.607843137254902,0.483356133150935,1.08866340446331,-0.270629812618673,824.509803921569,71.6746461586019,388.890196078431,395.690196078431,398.390196078431,1213.4,1220.2,1222.9,,,,0,1264.38301886792,1211.11666666667,1467.76363636364,1252.06274509804,1223.90967741935,1295.7,1467.76363636364,204.405580738064,170.885999535943,200.298558520661,205.877991986307,187.330443076468,229.857150146965,0.161664288184667,0.141097884488923,0.136465132095041,0.164431050114973,0.153059042290979,0.177399976959917,1500
22,2,16,6,Conveyor_Belt,5,98,30.6122448979592,75.5102040816327,74,57,68,5,5,6,0.0882352941176471,30,17,13,0,13,0.0735294117647059,0.838235294117647,0.433333333333333,0.566666666666667,0.467724867724868,1.15512499677828,-0.409668493601035,881.666666666667,88.5548080173431,442.333333333333,456.333333333333,456.333333333333,1324,1338,1338,,,,0,1312.29411764706,1330.9298245614,1215.72727272727,1262.66666666667,1260.29411764706,1265.76923076923,1215.72727272727,196.006705552636,150.162633221584,344.810409039255,165.96516737439,74.2308600801263,243.311238898574,0.149361871639016,0.112825357468467,0.283624803666477,0.131440206473909,0.0588996322689451,0.192224011284197,1500
22,2,16,6,HR_Driving,5,101,44.5544554455446,75.2475247524752,76,51,56,0,0,5,0.0892857142857143,45,25,20,0,20,0,0.910714285714286,0.444444444444444,0.555555555555556,0.444444444444444,1.4848769330585,-0.602728167647388,176.666666666667,66.2296280856509,290.333333333333,290.333333333333,290.333333333333,467,467,467,,,,0,484.696428571429,483.666666666667,495.2,483.111111111111,549.36,400.3,495.2,122.078204389698,126.427634110058,70.474818197708,136.242968496163,94.2151261740916,137.040562569896,0.251865285555138,0.261394143576963,0.142315868735275,0.282011664320485,0.171499792802701,0.342344647938787,1500
23,2,5,1,HR_Driving,1,109,30.2752293577982,72.4770642201835,79,64,76,2,2,9,0.118421052631579,33,15,18,0,18,0.0263157894736842,0.842105263157895,0.545454545454545,0.454545454545455,0.56019656019656,0.945091622761003,-0.58673110570193,187.878787878788,117.280581719588,498.521212021212,499.021212121212,503.821212121212,686.3999999,686.9,691.7,,,,0,660.245333330667,638.571874996875,625.488888888889,602.051515154546,738.91333332,488.000000016667,625.488888888889,264.877468509503,228.758928682572,226.162665157428,219.250791214304,202.83853841621,162.182478932525,0.401180372110023,0.358235208344701,0.361577430350811,0.364172808630875,0.274509241164778,0.332341145342184,1500
23,2,5,1,Mining,1,108,30.5555555555556,70.3703703703704,76,58,75,6,6,11,0.146666666666667,33,18,15,0,15,0.08,0.773333333333333,0.454545454545455,0.545454545454545,0.494071146245059,0.864054748062083,-0.317842079709613,518.181818181818,63.5144936931005,542.018181818182,560.818181818182,563.818181818182,1060.2,1079,1082,,,,0,1056.05200000128,1106.87586207069,882.652941176235,1026.08484848879,1141.48333333889,887.606666668667,882.652941176235,327.472836653243,164.141921164933,598.903096416687,330.569260063153,265.725281066884,355.479427703477,0.310091583229658,0.14829298098331,0.678526143716896,0.322165618710786,0.232789453254324,0.400492065970673,1500
26,2,7,1,HR_Driving,3,125,48.8,58.4,73,38,64,14,14,12,0.1875,61,35,26,13,13,0.21875,0.59375,0.426229508196721,0.573770491803279,0.545573770491803,0.423183931549369,-0.0256101435541033,218.852459016393,96.6798558931442,1010.14754098361,1067.14754098361,1080.14754098361,1229,1286,1299,,,,0,1191.71875,1117.36842105263,1018,1084.68852459016,1021.4,1169.88461538462,1018,348.422725770483,296.623650990897,436.770170476627,401.749944658101,263.946095209743,528.642663955385,0.292369928534298,0.265466291513285,0.429047318739319,0.370382773994863,0.25841599296039,0.45187590041227,1500
26,2,7,1,Treasure_Collect,3,123,29.2682926829268,60.9756097560976,75,57,87,16,16,12,0.137931034482759,36,18,18,5,13,0.183908045977011,0.655172413793103,0.5,0.5,0.612676056338028,0.462562266323816,-0.231281133161908,427.777777777778,92.1523927636363,716.222222222222,763.222222222222,767.222222222222,1144,1191,1195,,,,0,1096.38823529412,1039.75438596491,1211.67857142857,1088.30555555556,1106.27777777778,1070.33333333333,1211.67857142857,368.988162609125,272.216187766645,499.336749251884,374.214210575742,223.996535045563,487.289984928651,0.336548816131852,0.261808164929281,0.412103309430623,0.343850317280346,0.20247765935922,0.455269372402975,1500
57,2,5,1,HR_Driving,2,94,29.7872340425532,59.5744680851064,56,48,66,0,0,18,0.272727272727273,28,8,20,0,20,0,0.727272727272727,0.714285714285714,0.285714285714286,0.714285714285714,0.038636524650374,-0.58526708425805,87.5,44.3575539518648,465.4,465.4,465.4,552.9,552.9,552.9,,,,0,441.933333313636,442.91458331875,439.316666633333,435.414285728571,566.8124999375,382.855000045,439.316666633333,172.045875249928,172.615381096431,175.465962063121,184.199818481626,258.295265400032,116.01040556045,0.389302780036799,0.389726117851048,0.399406567949696,0.423044958603981,0.455697899090993,0.303013949267514,1500
57,2,5,1,Mining,2,113,30.9734513274336,83.1858407079646,94,74,78,1,1,3,0.0384615384615385,35,20,15,0,15,0.0128205128205128,0.948717948717949,0.428571428571429,0.571428571428571,0.434137291280148,1.81256033563905,-0.726267798026822,300,55.5718930226211,527.7000003,527.7000003,527.7000003,827.7000003,827.7000003,827.7000003,,,,0,849.682051294872,854.971621635135,751.825,764.914285722857,809.659999975,705.253333386667,751.825,217.545538298579,192.864630313788,544.171641827662,120.092832122007,78.3502286944635,141.493658955407,0.256031697935776,0.225580154280366,0.723800940149186,0.15700168550064,0.0967692966144836,0.200628132129411,1500
57,2,8,2,AB_Driving,3,80,30,70,56,43,56,12,12,1,0.0178571428571429,24,13,11,5,6,0.214285714285714,0.767857142857143,0.458333333333333,0.541666666666667,0.583333333333333,0.836441539473693,-0.313587314122771,954.166666666667,48.7153816139944,414.733333333333,460.633333333333,467.933333333333,1368.9,1414.8,1422.1,,,,0,1342.70535714107,1296.77209302093,1494.63846153846,1261.66250000417,1395.77692307692,1103.16363637273,1494.63846153846,197.392838060142,200.818838435745,69.7733060042967,348.808216663984,87.7793840056437,468.584539386369,0.147011283607624,0.154860549140846,0.0466823969807907,0.276467134961079,0.0628892644335588,0.424764308699573,1500
57,2,8,2,Conveyor_Belt,3,100,50,45,45,32,50,1,1,17,0.34,50,13,37,1,36,0.02,0.64,0.74,0.26,0.755102040816326,-0.284886612141723,-0.500902099322055,154,110.120527660582,695.4000002,697.1999999,697.1999999,849.4000002,851.1999999,851.1999999,,,,0,678.69600002,734.8093750125,578.938888922222,653.154000014,465.830769246154,718.970270283784,578.938888922222,282.606185907383,207.574907391616,367.651812792637,221.717820504983,123.583908089577,211.414495277177,0.416395832447892,0.282488104330575,0.635044250485701,0.339457188504137,0.265297864049579,0.294051790477692,1500
