Participant,Group,Tot_session,Inc_session,Game,BonusGames,TotalTrials,Perc_inhibitTrials,Perc_correct,CorrResponses,hits,go_trials,go_omissions,go_omissions_all,go_errors,P_go_errors,stop_trials,correct_inhibits,false_alarms,P_go_omission,P_Hit,P_false_alarm,P_corr_inhibit,P_val_adjusted,dprime,dprime_bias,mean_all_goRT,mean_stopRT,mean_SSD,SSD_std,mean_SSRT1,mean_SSRT2,mean_SSRT3,SSRT1_nRT,SSRT2_nRT,SSRT3_nRT,SSRT1_error_msg,SSRT2_error_msg,SSRT3_error_msg,FullSSRTExclude,mean_all_goRT2,mean_Corr_goRT,mean_InCorr_goRT,std_all_goRT,std_combined_goRT2,std_Corr_goRT,std_InCorr_goRT,std_StopRT,CovVar_all_goRT,CovVar_all_goRT2,CovVar_Corr_goRT,CovVar_InCorr_goRT,CovVar_StopRT
69,1,1,1,AB_Driving,0,80,30,62.5,50,32,56,23,23,1,0.0178571428571429,24,18,6,0.410714285714286,0.571428571428571,0.25,0.75,0.424242424242424,0.900197704056241,0.224390898167961,1175.51785714286,707.333333333333,516.666666666667,141.932827549626,285.333333333333,464.333333333333,687.333333333333,802,981,1204,,,"",0,1282.50632911392,943.1875,1485.29166666667,383.621735618514,363.314968016829,300.435966823698,234.584086929569,157.338700473427,0.326342754631496,0.283285126762565,0.318532600170908,0.15793806172496,0.222439256088728
69,1,1,1,Mining,0,103,30.0970873786408,67.9611650485437,70,59,72,10,10,2,0.0277777777777778,31,11,20,0.138888888888889,0.819444444444444,0.645161290322581,0.354838709677419,0.749219562955255,0.713035547611568,-0.728807134270975,835.394366197183,770.65,125.806451612903,91.1692270285827,803.193548387097,1121.1935483871,1149.1935483871,929,1247,1275,,,"",0,923,703.101694915254,1485.83333333333,418.005074435133,456.134903290682,317.780541000322,155.050627118038,359.179368033651,0.500368558071493,0.494187327508865,0.45196952773471,0.104352637432219,0.466073273254591
69,1,2,2,AB_Driving,0,80,30,53.75,43,31,56,22,22,3,0.0535714285714286,24,12,12,0.392857142857143,0.553571428571429,0.5,0.5,0.823529411764706,0.271880005399261,-0.135940002699631,1177.19464285714,752.716666683333,800,72.2315118514615,444.1,742.9,745.3,1244.1,1542.9,1545.3,,,"",0,1282.71153846154,942.793548383871,1467.852000004,386.953769570345,368.321843652317,304.649767139883,261.061943656636,285.061696149409,0.328708401722911,0.287143159321756,0.323135184433656,0.177853042170412,0.378710487978785
69,1,2,2,Chest_Picking,0,112,50,66.9642857142857,75,48,56,5,5,0,0,56,27,29,0.0892857142857143,0.857142857142857,0.517857142857143,0.482142857142857,0.823529411764706,1.30039045748112,-0.694971405436078,830.598113215094,936.789655162069,800,68.1623348786109,NaN,NaN,NaN,NaN,NaN,NaN,stop RT larger than all go rt,stop RT larger than all go rt,"stop RT larger than all go rt",1,1282.71153846154,756.620833341667,1540.78,339.208973753823,368.321843652317,260.879088277393,3.95056957918736,467.621917149393,0.408391216349875,0.287143159321756,0.34479501063327,0.00256400626902436,0.499174937055098
69,1,3,3,AB_Driving,0,80,30,50,40,27,56,23,23,6,0.107142857142857,24,13,11,0.410714285714286,0.482142857142857,0.458333333333333,0.541666666666667,0.777777777777778,0.330341409474235,-0.0605372491230421,1122.94821429464,687.181818154545,750,93.2504808240314,304.3,788.7,792.2,1054.3,1538.7,1542.2,,,"",0,1246.2607595,869.414814825926,1358.99655173103,418.261178069067,401.06701671267,262.279773854559,400.084426324493,151.646746205306,0.372467022739592,0.321816292180762,0.301673918343654,0.294396940017899,0.220679217928902
69,1,3,3,Treasure_Collect,0,129,30.2325581395349,66.6666666666667,86,66,90,20,20,4,0.0444444444444444,39,20,19,0.222222222222222,0.733333333333333,0.487179487179487,0.512820512820513,0.626373626373626,0.796851467113725,-0.366283940229524,917.03666666,519.73684211,237.179487179487,76.7068485911312,546.220512920513,734.720512820513,803.420512820513,783.4000001,971.9,1040.6,,,"",0,1029.30272726727,719.81060605,1459.4083333375,433.489754809016,458.988772323617,299.821686572158,233.494941585753,252.869756133508,0.472707112560567,0.445922040391557,0.416528575783908,0.159992879478615,0.486534214328392
69,1,4,4,HR_Driving,0,193,30.0518134715026,62.1761658031088,120,112,135,16,16,0,0,58,8,50,0.118518518518519,0.82962962962963,0.862068965517241,0.137931034482759,0.977977397855694,0.092763197864536,-1.13604358087838,781.0546875,624.18,84.4827586206897,62.9723529922403,1341.51724137931,1449.51724137931,1449.51724137931,1426,1534,1534,,,"",0,866.159722222222,673.473214285714,1534.125,428.176122946293,470.287081839781,341.079630865546,3.63088602593545,302.883468532378,0.548202487993253,0.542956535352638,0.50644869555398,0.00236674718548713,0.485250197911465
69,1,4,4,Mining,0,231,29.4372294372294,63.2034632034632,146,131,163,17,17,11,0.0674846625766871,68,15,53,0.104294478527607,0.803680981595092,0.779411764705882,0.220588235294118,0.870165189363417,0.487246826960623,-1.01383149535579,763.74213836478,743.905660377358,86.0294117647059,57.8505461443628,1001.97058823529,1321.97058823529,1438.97058823529,1088,1408,1525,,,"",0,839.301136363636,656.320610687023,1266.32142857143,407.702178063755,451.416064273765,292.139567993308,493.811484015947,694.524858727476,0.533821767300507,0.537847555204767,0.4451171626128,0.389957456988649,0.933619537691334
69,1,5,5,AB_Driving,0,84,29.7619047619048,59.5238095238095,50,43,59,8,8,8,0.135593220338983,25,7,18,0.135593220338983,0.728813559322034,0.72,0.28,0.832941176470588,0.517492912187866,-0.841587963365149,889.738983037288,695.316666661111,568,208.606487594865,600.1,845.8,855,1168.1,1413.8,1423,,,"",0,968.385074614926,801.230232546511,1127.60624998125,382.881637892731,418.492423915276,302.284099696516,477.687418689274,231.052339984429,0.430330293706694,0.432154971080784,0.377274954710309,0.423629630198677,0.332298003288106
69,1,5,5,HR_Driving,0,113,30.9734513274336,65.4867256637168,74,70,78,7,7,0,0,35,4,31,0.0897435897435897,0.897435897435897,0.885714285714286,0.114285714285714,0.973038229376258,0.138288720050559,-1.27319132005198,684.275324668831,544.903225829355,58.5714285714286,22.640782716523,1333.12857142857,1487.12857142857,1487.12857142857,1391.7,1545.7,1545.7,,,"",0,756.327380946429,598.519999992857,1541.82857142857,383.235287144529,438.494282741478,282.312171046965,5.67471417362859,390.468238975839,0.560060071331672,0.579767827779511,0.471683771720802,0.00368050915567787,0.716582726008894
