Participant,Group,Tot_session,Inc_session,Excludegame,Game,BonusGames,TotalTrials,Perc_correct,CorrResponses,hits,latehits,go_trials,go_omissions,go_omissions_all,go_error,stop_trials,P_Hit,P_go_errors,P_go_omission,mean_all_goRT,mean_all_goRT_2SD,mean_Corr_goRT,mean_Corr_goRT_2SD,std_all_goRT,std_all_goRT_2SD,std_Corr_goRT,std_Corr_goRT_2SD,CovVar_all_goRT,CovVar_all_goRT_2SD,CovVar_Corr_goRT,CovVar_Corr_goRT_2SD,mean_Stim_dur
18,3,1,1,0,Mining,1,110,70.9090909090909,78,78,0,110,13,13,10,0,0.709090909090909,0.0909090909090909,0.118181818181818,494.160396032673,410.822916659375,639.874358965385,554.182432422973,494.467172032158,321.115258363729,472.313529329963,280.364163075673,1.00062080248022,0.781639108584526,0.738134795858439,0.505905901509503,1010.138220741
18,3,3,2,0,AB_Driving,1,90,74.4444444444444,67,67,0,90,20,20,3,0,0.744444444444444,0.0333333333333333,0.222222222222222,509.977777777778,509.977777777778,685.044776119403,691.564516129032,323.790262874109,323.790262874109,140.105310265963,113.458105356442,0.634910533327593,0.634910533327593,0.204519930886303,0.164060044594991,899.063298055952
18,3,3,2,0,Chest_Picking,1,80,65,52,52,0,80,11,11,15,0,0.65,0.1875,0.1375,365.769230769231,357.571428571429,548.653846153846,540.265306122449,296.581865927105,289.494906262407,174.630352977355,146.835193259626,0.810844218097237,0.809614200494146,0.318288761122413,0.271783495248808,1406.76651683816
18,3,4,3,0,AB_Driving,1,92,73.9130434782609,68,68,0,92,19,19,5,0,0.739130434782609,0.0543478260869565,0.206521739130435,480.184782608696,480.184782608696,649.661764705882,637.445312498437,310.109580749195,310.109580749195,137.368607533137,111.271649457833,0.645813011950244,0.645813011950244,0.211446347924335,0.174558738257419,804.849601418182
18,3,4,3,0,Treasure_Collect,1,142,66.9014084507042,95,95,0,142,34,34,9,0,0.669014084507042,0.0633802816901408,0.23943661971831,356.160144949275,321.514393962121,517.369473715789,476.852809022472,301.134298337129,257.888786078738,218.796538191323,155.205919018999,0.845502515111613,0.802106502606911,0.42290190919056,0.325479720539267,1149.04470945704
18,3,6,4,0,AB_Driving,1,91,73.6263736263736,67,67,0,91,19,19,5,0,0.736263736263736,0.0549450549450549,0.208791208791209,504.065934065934,504.065934065934,684.626865671642,673.116923076923,327.259171917909,327.259171917909,143.365445925724,129.144614397522,0.649238819370607,0.649238819370607,0.209406690146578,0.191860596532296,1004.30675048736
18,3,6,4,0,Conveyor_Belt,1,95,58.9473684210526,56,56,0,95,16,16,16,0,0.589473684210526,0.168421052631579,0.168421052631579,399.064772727273,319.094117647059,627.101785714286,532.855555555555,611.444563711136,381.473802181356,667.669925661713,395.078899531911,1.53219378280981,1.19548992314328,1.06469147572466,0.741437140727569,2204.67598665778
18,3,7,5,0,HR_Driving,1,113,76.9911504424779,87,87,0,113,26,26,0,0,0.769911504424779,0,0.230088495575221,322.997345147788,303.684545472727,419.525287375862,392.840963883132,241.701144966238,213.413265463798,187.388207428813,142.324276821152,0.748306909010808,0.702746546195134,0.446667252410288,0.362294897696801,524.087680262857
18,3,7,5,0,Treasure_Collect,1,160,68.125,109,109,0,160,25,25,19,0,0.68125,0.11875,0.15625,263.189542492157,252.029530214765,369.431192672477,354.730000018,191.623966043991,181.422370981761,109.851009094047,78.1681204255453,0.728083510573757,0.719845689618845,0.297351743092891,0.220359485866938,616.589398996026
41,3,2,1,0,AB_Driving,1,84,71.4285714285714,60,60,0,84,24,24,0,0,0.714285714285714,0,0.285714285714286,672.180952380952,672.180952380952,941.053333333333,932.392857142857,438.012016801396,438.012016801396,112.184073115856,85.7090487638772,0.651628129672376,0.651628129672376,0.119211174480924,0.0919237509246011,1060.17715573158
41,3,2,1,0,Chest_Picking,1,122,63.1147540983607,77,77,0,122,30,30,10,0,0.631147540983607,0.0819672131147541,0.245901639344262,329.877777782906,324.564655177586,501.242857150649,500.552000008,283.828436860467,279.155057194204,189.557666143954,179.272414896506,0.860404840750611,0.860090748456464,0.378175296544889,0.358149432813456,838.347316845299
41,3,3,2,0,AB_Driving,2,87,72.4137931034483,63,63,0,87,23,23,1,0,0.724137931034483,0.0114942528735632,0.264367816091954,596.314942528736,596.314942528736,823.482539682539,805.568333333333,395.487348908196,395.487348908196,163.921808209428,146.192958735811,0.663218914540513,0.663218914540513,0.199059239644136,0.181478035675613,1015.45582018372
41,3,3,2,0,Conveyor_Belt,3,18,72.2222222222222,13,13,0,18,2,2,2,0,0.722222222222222,0.111111111111111,0.111111111111111,460.294117605882,405.68749995625,601.923076869231,540.916666608333,342.864285219842,267.060866630412,253.746606402998,132.132879617724,0.744880875304631,0.658292076189709,0.421559857320647,0.244275852038773,1135.74696063889
41,3,3,2,0,Treasure_Collect,3,159,65.4088050314465,104,104,0,159,34,34,15,0,0.654088050314465,0.0943396226415094,0.213836477987421,299.530718950327,287.495333330667,440.655769225,446.606315785263,239.832543075729,226.033913035725,148.633894925968,102.158742562235,0.800694312477186,0.786217676708334,0.337301597542627,0.228744509317138,606.493893605369
41,3,4,3,0,AB_Driving,3,90,72.2222222222222,65,65,0,90,14,14,11,0,0.722222222222222,0.122222222222222,0.155555555555556,509.644444441111,509.644444441111,705.661538456923,698.968749995312,347.789584166753,347.789584166753,166.50421699925,158.763738686895,0.682416119630516,0.682416119630516,0.235954785580841,0.227139966826785,1003.48831642791
41,3,4,3,0,Conveyor_Belt,3,102,64.7058823529412,66,66,0,102,31,31,3,0,0.647058823529412,0.0294117647058824,0.303921568627451,340.165000005,340.165000005,515.401515159091,527.162903235484,283.897492662532,283.897492662532,176.210011495918,153.870392798397,0.83458760501039,0.83458760501039,0.341888811563789,0.291883954379208,787.479763552631
41,3,5,4,0,HR_Driving,4,115,70.4347826086957,81,81,0,115,31,31,0,0,0.704347826086957,0,0.269565217391304,350.897321433036,346.348648653153,485.191358030864,487.477631586842,246.598981271242,242.951623274919,135.6560265997,112.348902512588,0.702766781644705,0.701465486352223,0.279592833537383,0.230469862067043,669.331234130909
41,3,5,4,0,Mining,4,83,56.6265060240964,47,47,0,83,33,33,3,0,0.566265060240964,0.036144578313253,0.397590361445783,387.7,354.62375,684.66170212766,644.770454545455,385.792705616197,351.86508283251,239.954372973117,189.827393539713,0.995080489079692,0.992220861779589,0.350471440460936,0.294410812718669,1235.03447352727
41,3,6,5,0,Chest_Picking,5,118,65.2542372881356,77,77,0,118,34,34,6,0,0.652542372881356,0.0508474576271186,0.288135593220339,395.675213675214,370.754385964912,601.220779220779,571.162162162162,338.924104744549,304.806178409366,223.881466721768,166.67719823569,0.856571483456002,0.822124268647795,0.372378125406665,0.291821148664199,948.069911760909
41,3,6,5,0,HR_Driving,5,106,66.0377358490566,70,70,0,106,26,26,0,0,0.660377358490566,0,0.245283018867925,243.0625,232.776595744681,333.342857142857,321.779411764706,185.217301255068,172.353609646502,129.234971454289,110.302548053576,0.762015124731572,0.740424994596738,0.387693837396084,0.342789327162524,528.714316921782
41,3,7,6,0,AB_Driving,6,94,77.6595744680851,73,73,0,94,18,18,3,0,0.776595744680851,0.0319148936170213,0.191489361702128,435.490425542553,435.490425542553,560.768493164384,552.439705894118,245.9930076305,245.9930076305,83.2726910675044,65.3550101759423,0.564864330424787,0.564864330424787,0.148497449629528,0.118302521485428,650.217951446067
41,3,7,6,0,Treasure_Collect,7,231,59.7402597402597,138,138,0,231,68,68,19,0,0.597402597402597,0.0822510822510823,0.294372294372294,232.914666659111,222.252272721818,379.752173900724,365.286923066923,211.293757103066,201.205705965995,129.720490206238,108.977365831416,0.907172399805596,0.905303255179009,0.341592488790201,0.298333608322054,1019.83109453657
41,3,8,7,0,AB_Driving,7,94,76.5957446808511,72,72,0,94,19,19,3,0,0.765957446808511,0.0319148936170213,0.202127659574468,408.962765952128,408.962765952128,533.923611104167,532.770769212308,236.640871670834,236.640871670834,75.4414808939469,50.9133998812304,0.578636715545235,0.578636715545235,0.141296393950311,0.0955634258172702,686.439220331868
41,3,8,7,0,Conveyor_Belt,7,100,57,57,57,0,100,34,34,5,0,0.57,0.05,0.34,333.392708345833,290.305376356989,561.503508792982,499.970370392592,385.314343101832,294.868510628025,348.556532073313,210.055921228925,1.15573716357989,1.01571839394881,0.620755750614233,0.420136739431143,1124.10177566702
41,3,9,8,0,Chest_Picking,9,23,60.8695652173913,14,14,0,23,5,5,1,0,0.608695652173913,0.0434782608695652,0.217391304347826,240.179999995,240.179999995,343.114285707143,343.114285707143,194.322099929632,194.322099929632,130.974265547332,130.974265547332,0.809068614929125,0.809068614929125,0.381721983033729,0.381721983033729,694.87130906087
41,3,9,8,0,HR_Driving,9,102,74.5098039215686,76,76,0,102,21,21,0,0,0.745098039215686,0,0.205882352941176,246.360824739175,213.93225805914,314.434210522368,276.329166659722,228.2704292447,161.975677962714,212.149621140213,128.495787661699,0.926569512366151,0.757135363466024,0.674702732847579,0.465009862024197,448.558130002083
